decade,word,tf,occurrences
1650-1700,law,0.02464788732394366,"[1346, 4255, 6603, 13902, 18206, 21494, 21869, 33746, 33908, 34595, 34991, 37944, 41943, 50772, 50783, 53115, 61696, 84883, 85255, 85297, 92325]"
1650-1700,inscript,0.0011737089201877935,[1890]
1650-1700,latin,0.002347417840375587,"[1890, 34988]"
1650-1700,dutch,0.0011737089201877935,[1950]
1650-1700,war,0.008215962441314555,"[1950, 4453, 6545, 18087, 41893, 59177, 60777]"
1650-1700,taxat,0.0011737089201877935,[1960]
1650-1700,monastic,0.002347417840375587,"[2233, 25535]"
1650-1700,religi,0.017605633802816902,"[2233, 2644, 4423, 4424, 6831, 11902, 12427, 16012, 25535, 41905, 45712, 55965, 56315, 68299, 73651]"
1650-1700,order,0.0035211267605633804,"[2233, 25535, 80194]"
1650-1700,women,0.0011737089201877935,[2233]
1650-1700,foreign,0.0011737089201877935,[2234]
1650-1700,enlist,0.0011737089201877935,[2234]
1650-1700,weapon,0.0035211267605633804,"[2243, 16470, 80200]"
1650-1700,tax,0.002347417840375587,"[2272, 89829]"
1650-1700,farm,0.0011737089201877935,[2272]
1650-1700,obedi,0.0011737089201877935,[2347]
1650-1700,privileg,0.0035211267605633804,"[2637, 35504, 37944]"
1650-1700,immun,0.0035211267605633804,"[2637, 35504, 37944]"
1650-1700,ecclesiast,0.004694835680751174,"[2637, 13902, 16207, 69457]"
1650-1700,process,0.002347417840375587,"[2644, 11902]"
1650-1700,food,0.005868544600938967,"[3055, 28428, 55586, 63012, 63125]"
1650-1700,suppli,0.007042253521126761,"[3055, 13120, 28428, 55586, 63012, 63125]"
1650-1700,hous,0.002347417840375587,"[3068, 41918]"
1650-1700,sell,0.0011737089201877935,[3068]
1650-1700,fish,0.0011737089201877935,[3285]
1650-1700,trade,0.009389671361502348,"[3285, 16468, 20149, 27572, 27573, 65859, 68293, 80707]"
1650-1700,ancient,0.004694835680751174,"[3760, 4413, 64198, 64914]"
1650-1700,probabil,0.0011737089201877935,[4000]
1650-1700,cathol,0.012910798122065728,"[4222, 11536, 16142, 20338, 23833, 41923, 50338, 59958, 62686, 71515, 91515]"
1650-1700,feudal,0.002347417840375587,"[4255, 61696]"
1650-1700,sermon,0.017605633802816902,"[4408, 4425, 4426, 11133, 27448, 32462, 34377, 41924, 41925, 41927, 47442, 49531, 50332, 76520, 90257]"
1650-1700,english,0.022300469483568074,"[4408, 4425, 4426, 6259, 27448, 27452, 32462, 41924, 41925, 41927, 44548, 47097, 49531, 50332, 50865, 64912, 76520, 87867, 90257]"
1650-1700,ephemerid,0.0011737089201877935,[4411]
1650-1700,charl,0.01056338028169014,"[4412, 25265, 32113, 41933, 50339, 57915, 82890, 89208, 90090]"
1650-1700,ii,0.015258215962441314,"[4412, 14204, 25265, 28565, 28566, 50339, 50340, 52400, 57915, 70989, 86375, 90090, 92304]"
1650-1700,king,0.022300469483568074,"[4412, 6545, 14204, 25265, 32113, 35844, 41933, 42802, 50339, 50340, 57915, 65632, 70952, 75669, 82890, 86375, 90090, 91471, 92304]"
1650-1700,england,0.045774647887323945,"[4412, 4434, 14204, 23776, 25265, 27450, 30626, 30636, 32113, 32694, 35844, 39424, 41207, 41917, 41933, 41941, 41942, 42590, 42607, 42802, 50335, 50339, 50340, 50342, 55135, 57915, 58888, 62680, 63393, 63394, 65530, 65632, 71857, 72331, 75669, 82890, 86375, 90090, 92304]"
1650-1700,wound,0.0011737089201877935,[4422]
1650-1700,injuri,0.0011737089201877935,[4422]
1650-1700,dissent,0.009389671361502348,"[4423, 6831, 12427, 16012, 41905, 55965, 56315, 73651]"
1650-1700,toler,0.0035211267605633804,"[4424, 45712, 68299]"
1650-1700,wale,0.014084507042253521,"[4434, 32694, 41207, 41941, 41942, 42590, 42607, 58888, 62680, 63393, 63394, 71857]"
1650-1700,armi,0.005868544600938967,"[4434, 41207, 42590, 63393, 63394]"
1650-1700,devot,0.0011737089201877935,[4442]
1650-1700,literatur,0.002347417840375587,"[4442, 34988]"
1650-1700,apparit,0.0011737089201877935,[4443]
1650-1700,state,0.004694835680751174,"[4444, 27453, 41934, 53581]"
1650-1700,local,0.0011737089201877935,[4446]
1650-1700,elect,0.002347417840375587,"[4446, 50331]"
1650-1700,polit,0.004694835680751174,"[4447, 11003, 24810, 75349]"
1650-1700,scienc,0.007042253521126761,"[4447, 28565, 28566, 52400, 70989, 75349]"
1650-1700,fast,0.0011737089201877935,[4452]
1650-1700,feast,0.0011737089201877935,[4452]
1650-1700,grand,0.002347417840375587,"[4453, 18087]"
1650-1700,allianc,0.002347417840375587,"[4453, 18087]"
1650-1700,public,0.004694835680751174,"[4454, 50344, 64919, 85255]"
1650-1700,worship,0.002347417840375587,"[4454, 50344]"
1650-1700,scotland,0.007042253521126761,"[4459, 8531, 8672, 45716, 65618, 73652]"
1650-1700,parliament,0.01056338028169014,"[4459, 32694, 41941, 41942, 42607, 58888, 62680, 65618, 71857]"
1650-1700,astrolog,0.002347417840375587,"[5078, 50347]"
1650-1700,friend,0.0035211267605633804,"[5163, 45707, 55626]"
1650-1700,societi,0.0035211267605633804,"[5163, 45707, 55626]"
1650-1700,poetri,0.004694835680751174,"[6259, 44548, 47097, 48448]"
1650-1700,pirat,0.0011737089201877935,[6525]
1650-1700,philip,0.0011737089201877935,[6545]
1650-1700,oblig,0.0011737089201877935,[6603]
1650-1700,franci,0.0011737089201877935,[8356]
1650-1700,xavier,0.0011737089201877935,[8356]
1650-1700,saint,0.007042253521126761,"[8356, 34096, 39423, 53714, 80196, 91516]"
1650-1700,high,0.0011737089201877935,[8531]
1650-1700,court,0.002347417840375587,"[8531, 21586]"
1650-1700,justiciari,0.0011737089201877935,[8531]
1650-1700,edinburgh,0.002347417840375587,[8672]
1650-1700,castl,0.0011737089201877935,[8672]
